SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistName,Danceability,Duration,Tempo,Title,Year, ArtistHotttnesss, SongHotttnesss
32,"SOUWMIW12AB0184748",760072,"The Unforgettable Grandpa Jones","ARQ91R31187FB38A88","Grandpa Jones",0.0,141.73995,119.271,"Down In Dixie",0,0.3315347514153216,0.0
33,"SOLXXPY12A67ADABA0",691752,"Sin / Pecado","AR4C6V01187FB3BAF4","Moonspell",0.0,386.19383,140.185,"The Hanged Man",1998,0.4998263135401019,0.5940795853731886
34,"SORURBV12A8C140200",522538,"Solo Lo Nuestro - 20 Exitos","ARKRRTF1187B9984DA","Sonora Santanera",0.0,150.72608,94.257,"Saca La Botella",0,0.34342837829688244,0
35,"SOYMDLM12A6D4FB10B",59445,"Mozart: Academy in Concert","ARBH0MS1187FB36311","Sir Neville Marriner",0.0,296.80281,61.634,"Two Elegiac Melodies Op. 34: 2. The Last Spring",0,0.35303405577540575,0.5889221675559065
36,"SOSFUQC12AB017E17E",531252,"Pump Up The Bhangra","AR2PNSZ1187B9AF0A4","Pardesi",0.0,263.52281,90.811,"Akhan Nay Sharab",0,0.2563503629041404,0
37,"SOBPQVV12A8C13BE51",264107,"In Vogue","ARW9LQ31187FB4336D","Drop Dead_ Gorgeous",0.0,96.10404,200.289,"Are You Happy (Album Version)",2006,0.5183991616558854,0
38,"SOVQYSC12AB017D1C5",632887,"Ladies Night","ARKJ8Y91187B9B551E","Nichols",0.0,214.46485,167.941,"Fica ma mi",0,0.30878765630404553,0
39,"SOWWOFM12A6D4F82F0",26034,"Expansion Team","AR0CANF1187B9AF35F","Dilated Peoples Featuring Black Thought",0.0,236.72118,87.326,"Hard Hitters",2001,0.45784115609436704,0
40,"SOMNSHX12A58A79CD2",234069,"Power Packed","AREWQSE1187B9AEC6C","The Jackson Southernaires",0.0,273.162,115.434,"No Coward Soldier",0,0.31143764032728327,0
41,"SOHLHAI12A8C139204",264387,"Many moods of love - vol.2","ARPKMIM1187FB397DE","Sane Band",0.0,262.53016,148.071,"Thats life",0,0.3384002480697542,0
42,"SOQENPJ12AB0180997",532011,"Listening Tree","AR8U8G41187B9A833B","Tim Exile",0.0,369.57995,110.0,"Fortress",2009,0.3018470948111364,0.5300256141714262
43,"SOMNXCC12AB0187BE7",589241,"Celebration","ARBEOHF1187B9B044D","Madonna",0.0,269.58322,121.948,"Papa Don't Preach",1986,0.6552837984150548,0.7259841874679933
44,"SOLPFAE12A8C13AF2D",109835,"Samy Deluxe","ARB0WNP1187B9AC4AB","Samy Deluxe",0.0,235.98975,85.865,"Die Meisten",2001,0.39345711137576006,0.6205815482847123
45,"SODIDOO12A58A794E4",308299,"Live 2004","ARP7ILI1187B9AE9F7","Phantom Planet",0.0,209.34485,122.488,"The Meantime",2004,0.5423950934997648,0
46,"SOOCZWD12AB0185147",503069,"Desolation Angels","ARD8JVH1187FB4DA04","Bad Company",0.0,211.1473,194.283,"Crazy Circles",1979,0.48210001892032256,0.5525476944351284
47,"SOQAFSW12A67021430",14224,"Dig The New Breed","ARJG2ID1187B9A767E","The Jam",0.0,147.64363,144.424,"Start!",1980,0.547746274612012,0
48,"SOWHXVQ12A8A9D59CA",133543,"Party on my own","AR41ESB1187FB360B1","Gloria",0.0,218.122,84.978,"You are the summer",0,0.441537878476653,0.0
49,"SOFCCRW12A6D4FA064",71368,"Kings Of The Texas Swing - Live","AR0CDSK1187FB52ED6","Asleep At The Wheel",0.0,238.21016,122.166,"The Letter That Johnny Walker Read",2002,0.4610230157261765,0.5807042926330412
50,"SOVUFWU12A3F1ECA3C",445182,"Roger McGuinn Live At The XM Studios  05/27/2004","ARQFPFK1187FB533E1","Roger McGuinn",0.0,264.69832,83.897,"The Bells Of Rhymney",0,0.41643518358517334,0.0
51,"SONAZLA12A6D4F80EF",80682,"Harder Faster","AROLZEM1187B9A805E","Ashes to Ashes",0.0,191.92118,120.986,"Mind On",0,0.3588450251644818,0
52,"SOTZWYD12A8C1392B7",209117,"Proti Epafi","ARQSZLT124207825BA","Konstantinos Galanos",0.0,219.71546,126.941,"De Tha Kano Piso",0,0.26265589071398826,0
53,"SODNKBI12A8AE48AD0",279664,"Intégrale 81-91","AR7GOK91187FB455F5","Jean-Jacques Goldman",0.0,358.60853,133.058,"Je Marche Seul (Version Longue)",0,0.44925387694771113,0.0
54,"SOPZJXE12A8C133E5D",87743,"Texas - A Musical Celebration One Texas Shuffle","AR0VS771187B99564F","Rocky Hill",0.0,339.51302,93.162,"Hootchie Cootchie Man",0,0.19553182837458385,0
55,"SOEAXUV12A6D4F8FA2",304975,"Valse Avec Bachir","ARDG9Z71187B997023","Public Image Ltd",0.0,251.50649,127.369,"This Is Not A Love Song",1983,0.41551708285972627,0.8736187597898523
56,"SOOINOI12A6D4FC8D0",272060,"Feel Me","ARJANQY1187B9A82F7","Leana",0.0,228.15302,130.923,"Pack Your Bags (Remix by Ralphi Rosario)",0,0.3477495590121899,0.26586104921065007
57,"SOPRXBS12A8C1323E8",619464,"Atomic Boogie","ARWIMT21187B9B5AEC","Big Joe Turner",0.0,159.16363,84.907,"I Got My Discharge Papers",0,0.3645865754085436,0.0
58,"SOACMGG12AB0189F0D",777947,"Black Rock","ARSHZBZ1187B98A445","Joe Bonamassa",0.0,258.7424,75.064,"I Know A Place",2010,0.5110543538982074,0.8063998668501149
59,"SOSYTWT12AB0182AE4",540898,"Zoo Palace","AROENEQ11F4C8451B1","The Lord Henry",0.0,239.59465,142.991,"Is This Legal",0,0.0,0
60,"SOZYZDZ12AB01873CA",685007,"Day Parts-Romance","ARNLE621187B98ECB5","Mannheim Steamroller",0.0,277.65506,109.831,"On The Edge Of Forever",0,0.6462073523388863,0
61,"SOQMFYZ12A6D4F9C4A",47750,"Late Orchestration","ARRH63Y1187FB47783","Kanye West",0.0,247.64036,81.53,"Diamonds From Sierra Leone",2005,1.0825025567261237,0
62,"SODCBAD12A8C130BA2",284332,"Rap Life","ARXW2MN1187B9B8817","X-Ecutioners featuring Big Pun",0.0,65.72363,115.498,"The Drama (intro)",0,0.41693587166116425,0
63,"SOAFZZF12AB0186C77",553628,"The Best of Michael English","AR31BYO1187FB5336C","Michael English",0.0,189.88363,123.29,"Come On Home",0,0.34621991956649656,0.0
64,"SOIMKZT12AB018B1DD",757136,"Spirit of Brazil live","ARIYZFT1187FB5393E","Mart'nália",0.0,242.59873,96.978,"Brasil pandeiro",0,0.3667046199936735,0.0
65,"SOZAWLR12A58A79324",463522,"Oxford","AR1Y2PT1187FB5B9CE","John Wesley",0.0,166.03383,150.986,"Alone Together (Live Acoustic)",0,0.45278947675222264,0
66,"SOOKCOH12A8C13AA44",251356,"Taste the X","ARFRR9R1187B98A987","Ultra X",0.0,209.13587,101.458,"Break Em",0,0.0,0
67,"SOZPRLC12AB01866A7",471392,"Yolandita Monge Selected Hits Vol. 2","ARDG9I21187FB35FF3","Yolandita Monge",0.0,181.49832,114.325,"Soy Un Poco De Ti - Original",0,0.34721781564698434,0
68,"SOUVPPF12AB01855B1",369470,"Samba Nouvelle Vague","AR3N2H11187B98AFBA","Sivuca",0.0,185.73016,181.239,"Rapaz De Bem",0,0.3243342048085304,0
69,"SOVSIZD12AB0184484",648437,"HarpGuitar "Antonio Koudele Plays Evergreens" Vol.1","ARBSAVH1241B9CA637","Antonio Koudele",0.0,195.5522,88.12,"Track BALLERINA GIRL",0,0.0,0
70,"SOQLKYX12A8C13A7AB",296910,"Piano Masterpieces","ARY8LJ11187FB4019B","Floyd Cramer",0.0,117.4722,83.724,"Near You",1964,0.4088617195261995,0.0
71,"SOERLWC12AB0187445",585025,"20 Secretos De Amor - Los Iracundos","ARYN8YT1187FB38396","Los Iracundos",0.0,149.36771,125.717,"La Bambola",0,0.37747250731152715,0
72,"SOKDHSI12AB0181587",443074,"It Means Escape","ARMYKRB1187B98CFF0","Cowboy Mouth",0.0,164.57098,85.268,"My Little Blue One",0,0.40199254009343804,0
73,"SOJRCFG12A8AE44FBA",183294,"New Skin","AR12P091187B99B50F","Daylight Torn",0.0,225.07057,135.91,"Sebastian",0,0.23829280794184393,0
74,"SOKHAME12AB017D3D4",329931,"DJ Slugo Juke Chronicles Vol. 4","ARCZ42S1187B98C0D7","DJ Slugo",0.0,193.04444,74.985,"Vulture 4",0,0.3996394901716998,0
75,"SODRBBP12A8C1385AF",101370,"Tampa Red Vol. 5 (1931 - 1934)","AR576O51187B990C30","Tampa Red",0.0,178.25914,109.961,"No Matter How She Done It",0,0.3546029258766705,0
76,"SOXXVKU12A8C1426B6",371980,"François Villon","ARJFDKM1269FB35F40","Monique Morelli",0.0,136.07138,122.976,"Mort",0,0.1988008451593438,0
77,"SOCAYHA12A8C13683A",154001,"The Military Band - Salute to the Services","ARASWKT1187B9923B7","Felix Slatkin/Concert Arts Symphonic Band",0.0,108.35546,92.499,"The Star-Spangled Banner (1998 Digital Remaster)",0,0.2916990799372148,0
78,"SOLICYE12AB017ED96",551858,"Die Star Von Kleinkunst und Kabarett","ARPJMMD1187FB4BD47","Curt Bois",0.0,153.52118,91.568,"Lucindy",0,0.11988762173866001,0.0
79,"SOYQKLT12AB01841BC",441344,"Cinema Do Mar","ARCID1N1187FB51DA0","Carlos Nuñez",0.0,179.64363,131.986,"Gabriel's Oboe (La Mision)",2007,0.3849861165778121,0.3277366831778408
80,"SOBPZPS12A6D4F6EFA",26972,"Semprini","AR9FEO71187FB5981F","Semprini",0.0,517.0673,137.687,"Rhapsody In Blue (2003 Digital Remaster)",0,0.0,0
81,"SOJHKKJ12AB0182FBA",648542,"The Wandering Minstrel","ARMZ4SJ1187FB4657B","Séamus Ennis",0.0,249.73016,162.356,"The Little Stack Of Barley / Cronin's Hornpipe",0,0.3071950178281231,0
82,"SOQFUXL12A8C136D6B",702264,"Meu Pé Meu Querido Pé","AR1PQYO1187B98BEC9","Hélio Ziskind",0.0,60.70812,200.617,"Cocoricó (Abertura)",0,0.0,0.22914410371660274
83,"SOAJZJM12A6D4FA033",50589,"Jazz Age!","ARGDLJR1187B98D048","Bob Crosby",0.0,173.73995,119.763,"The World Is Waiting For The Sunrise",0,0.38955338756808916,0.4051157216913865
84,"SOSURIF12AB0180A1B",457769,"The Awakening","ARTHKHA1187FB3996A","PMD",0.0,44.2771,70.123,"Let it go Interlude",0,0.39746763608485836,0
85,"SOSBXWX12A6701D235",15555,"Live Era '87-'93","ARM7EDF1187B9B3FA1","Guns N' Roses",0.0,402.36363,122.838,"Patience",1988,0.7136698195798281,0.5022112205508021
86,"SOXVMZV12A8C142488",476059,"Georgiavania","ARWHVAC123E29C221D","Willie Isz",0.0,338.72934,83.573,"Violet Heart Box",2009,0.39909855771484765,0.38595083446417855
87,"SOZYCQM12A8C13F9AB",174686,"Jazz Gillum Vol. 3 1941-1946","ARW4AGO1187FB4F107","Jazz Gillum",0.0,191.86893,98.563,"Maybe You'll Love Me Too",0,0.28228640563265106,0
88,"SOKASWV12AB01857B5",631067,"Strata Presents The End Of The World","AR4IWYN1187FB47DF6","Strata",0.0,201.27302,125.562,"Night Falls (The Weight Of It)",2007,0.4822988321304963,0.7552627651814218
89,"SOPLYEI12AB0181C03",446698,"Count Me In","AR6KNZ01187B9A35D1","Justo Almario",0.0,243.43465,216.557,"In Your Dreams",1995,0.40536080046519324,0.3701194801584678
90,"SOZPMGI12AB018979F",656041,"Calm Before the Storm","ARGXIE31187FB55B48","Tech N9ne",0.0,260.38812,106.644,"Spend the Night featuring Rock Money and Paul Law",0,0.49607134662408603,0
91,"SOIAEVG12A8C141B2F",269851,"At The 2nd Fret","AR6BHP31187FB365E1","Sonny Terry / Brownie McGhee",0.0,343.84934,100.82,"I Woke Up One Morning And I Could Hardly See",0,0.34943133792488706,0
92,"SOLKGAA12AB0184EF8",759051,"International","ARYFHBH1257509D340","Hassan Annouri",0.0,259.26485,96.043,"Gutes Mädchen",0,0.3577843123968623,0
93,"SOCHDXC12A8C13837F",295675,"Even In Darkness","ARYZGN21187B98D5D6","Dungeon Family",0.0,264.6722,117.004,"Follow The Light",0,0.3752065673793491,0
94,"SOOJXKD12A58A7AB3C",239051,"Precious Little","AR695PK1187B996E35","Jeremy Spencer",0.0,289.77587,92.433,"It Hurts Me Too",2006,0.2060203719845676,0.0
95,"SOSJSMZ12AB0187EB3",696912,"Love To Love","ARR2BHS1187B9B8FA7","Minnie Riperton",0.0,224.67873,122.832,"Lovin' You",1974,0.3835574697768149,0
96,"SOBQCYC12AB018748A",503553,"Anchorman","ARCQCYR1187B99367F","Jonathan Edwards / Will Ferrell",0.0,159.58159,83.985,"Sunshine Anchorman Medley",0,0.39974166746146406,0.4454545254934259
97,"SOIVWOX12CF5827585",83579,"Bizarre Ride II","AR82DJK1187B991107","The Pharcyde",0.0,315.97669,104.357,"I'm That Type Of Ni**a",0,0.5111304652008951,0
98,"SOMROYR12AB01893AD",513000,"Bad Boy Dance Mixes Volume 4","AR93WAA1187FB42116","Cassie",0.0,490.86649,82.005,"Long Way 2 Go [Friscia & Lamboy Club]",0,0.47680335353388514,0.21508031850922793
99,"SOTEFFR12A8C144765",336537,"Day & Age","ARVG4OK1187B9B6BD3","The Killers",0.0,225.12281,134.734,"A Dustland Fairytale",2008,0.8289063015404353,0.7603432374173373
100,"SONBMJI12A6D4F82B7",25838,"Too Fast For Love","AREGV3K1187B9AF614","Mötley Crüe",0.0,201.40363,121.691,"Merry-Go-Round",1981,0.5013606133308892,0.6232359933219161
101,"SOEBFHP12AC468DA37",789783,"Lange Presents Intercity Spring 2010","ARNLHY61187FB3A0C0","Organ Donors",0.0,455.44444,134.07,"Dr Kaotica",0,0.4225876607355313,0.0
102,"SONWNNQ12A58A77AD6",766304,"Soul Classics On Reggae Beats","AR5TQ1T1187FB59492","Cornell Campbell",0.0,166.55628,88.843,"Just My Imagination",0,0.3832290261922142,0
103,"SOHIPSG12AC46890BE",686742,"John D. Loudermilk","AR5ZJLK1187B9B3A8E","John D. Loudermilk",0.0,113.81506,87.714,"Somebody Sweet",0,0.28737003459245986,0.0
104,"SOQARNP12A8C135A28",287223,"X.O. Experience","ARLLUSZ1187B98ACDC","Tha Liks",0.0,43.2322,97.067,"Intro",2001,0.0,0
105,"SOIDEZW12A6D4F9655",53676,"Let Em' Burn","ARHUIGM1187B9A5932","Hot Boys",0.0,227.94404,93.859,"Young Riders",0,0.36741233742016544,0.4051157216913865
106,"SOASHZJ12A8C1426D8",311098,"The Soul Of Jazz (Jazz Club)","AR9ST641187B99B4DE","Cal Tjader",0.0,199.75791,143.764,"Along Comes Mary",0,0.3690768705489907,0.4051157216913865
107,"SOIRKJL12A8C13A2AA",298352,"Ultimate Toni Braxton","ARAEX7Y1187FB42D36","Toni Braxton Featuring Babyface",0.0,240.61342,103.832,"Give U My Heart",2003,0.555968803751809,0.319565986882865
108,"SOLQETH12AB0181E42",619734,"Sex_ Anarchy & Rock N' Roll Swindle","ARD3LXU1187B9ABFC5","The Sex Pistols",0.0,176.5873,89.607,"My Way (Alternate Studio Version)",0,0.5492043838770254,0
109,"SOYYFNE12AB018A96D",774026,"From Hell...With Love","ARJ8PZJ1187B99314F","Aiden",0.0,241.03138,125.653,"Die Romantic [Live]",0,0.5004591506589332,0.47212111953959446
110,"SOHCFNL12A8C140C2E",701307,"Kissed","ARJEFGV1241B9C6F79","Winterlight",0.0,328.6722,99.998,"Daybreak",0,0.3084860991203661,0.0
111,"SOLYUTF12A8C133225",238242,"Them","ARNVM131187B990D2B","themselves",0.0,271.43791,167.885,"Crayon Sharpener",2003,0.42883453621653383,0.4287022625232594
112,"SOOAMWT12A8C13B479",251204,"Dinosaur","AR9YWMS1187FB43A34","Dinosaur Jr.",0.0,198.53016,185.452,"Does It Float",1985,0.5515524551563505,0.5874265067023358
113,"SOJYYHN12AB0182966",345186,"Tall Stories","ARDDYFH11F4C83DD58","Lloyd Spiegel",0.0,188.70812,113.397,"The Storm",0,0.2650944490241476,0
114,"SONAEGX12A8C141C53",477924,"Why can't we live together Rmx","ARDNMNC11F4C842FDE","Sin Plomo",0.0,444.49914,127.955,"Why can't we live together",0,0.29403748296747373,0
115,"SOXYAJK12AB0182B59",641616,"Whatever Gets You Off","ARODHHS1187FB37814","The Last Vegas",0.0,237.11302,179.001,"Another Lover",2009,0.45854917593860034,0.5571877675186344
116,"SOTZPSF12A8C13BE4F",107481,"Focus / Backstage","AR41O131187FB51448","DJ Isaac",0.0,497.13587,172.371,"Focus",0,0.4584004939943689,0
117,"SOHGJUI12AF72A724F",257676,"The Best Of","ARH6W4X1187B99274F","Radiohead",0.0,198.47791,149.492,"2 + 2 = 5",2003,0.6046668763512903,0
118,"SOSGKJE12A6D4F7920",43052,"Damita Jo","ART4QZC1187FB51612","Janet Jackson Featuring Kanye West",0.0,257.14893,191.406,"My Baby (Feat. Kanye West)",2004,0.5682014218067547,0.6344816177913262
119,"SOWESXJ12A8C136BEC",290794,"Araba","ARY0XD81187FB5CF38","Mustafa Sandal",0.0,202.9971,85.0,"Beni Aglatma",0,0.40924801322128795,0.46048484498641545
120,"SOTETYU12A8C1330E3",191749,"Abominations","AR2OPWW1187B9A5057","Schoolyard Heroes",0.0,202.00444,117.58,"The Last Man On Earth",2007,0.37072581745115313,0.4623799459732465
121,"SODEFVL12A6D4F668A",80910,"Sons of the Light","AR8L3QV1187FB4C0BB","Bruno Sanfilippo",0.0,291.082,146.008,"The Flight of the serpentarius",1991,0.3719004797519869,0
122,"SOJBELS12A6D4FCE9A",128152,"What Demons Do To Saints","AR60KPK1187B9A7552","Beneath The Sky",0.0,275.9571,84.159,"No Such Thing As Control (Album Version)",2007,0.4763001897113114,0.5844176457371003
123,"SOFBNZY12A67ADAE8C",734778,"Mandylion (Deluxe Edition)","ARKAL321187B9AD4BE","The Gathering",0.0,348.44689,131.502,"Fear The Sea",0,0.4856823691614736,0.6106423776376482
124,"SOHMAJU12AB0186744",466909,"Modern Heart Exhibit","ARJ84561187B993E3E","Ill Harmonics",0.0,71.99302,88.464,"Life",0,0.3568352205100787,0
125,"SOMBNUM12A81C215EF",181942,"Terraplane","ARGMCPU1241B9C4C34","Scott Ainslie",0.0,208.1171,103.829,"Terraplane Blues",0,0.2265160830717267,0.2538347361322313
126,"SOEJLYX12AC468C212",746186,"Best of 40's and 50's_ Vol. 16","AR7AOEJ1187FB3D279","Little Milton",0.0,175.82975,110.3,"Lookin' for My Baby",1994,0.3864410971038427,0
127,"SOCHUHK12A6D4F7883",280978,"A Beautiful Lie + 30 Seconds To Mars","ARRBF3M1187FB4D59F","30 Seconds To Mars",0.0,277.28934,98.507,"End Of The Beginning",2002,0.6770875467122787,0.7888620091356934
128,"SOTPYPV12AC907281F",600648,"Hear Our Prayers O Lord","AREWQSE1187B9AEC6C","The Jackson Southernaires",0.0,235.36281,103.916,"Lift Jesus Up",0,0.31143764032728327,0
129,"SOFBOOL12AB0183E42",637952,"To Fili Tis Zois","ARYXBCS1250940B844","Giorgos Sabanis",0.0,247.66649,116.024,"Dio Nisia",0,0.23598960029372928,0
130,"SOXMYIB12A58A7B6D7",153196,"Enséñame","AR6IJJ41187B98C872","Bobby Pulido",0.0,187.97669,196.681,"La Rosa",1996,0.42685185323555136,0
131,"SOZZUJY12A6D4F5786",78310,"Goodbye Bafana","ARQ3VBJ1187FB3FE55","Dario Marianelli",0.0,227.99628,126.615,"The Harbour",2007,0.4121155534594195,0.3552855364230894
132,"SOCOKFY12AB017E434",399779,"To Have And To Hold","AR1S5O61187B9898AC","Chris Eaton",0.0,287.65995,100.811,"All Or Nothing  (Wonderful World Album Version)",0,0.3336632036045475,0
133,"SOZBXVO12AB0188824",364545,"Li'l Abner","AR4R84C1187FB3EC16","Shelly Manne",0.0,190.74567,125.693,"Jubilation T. Cornpone",0,0.0,0.23962909777363708
134,"SOFMGHL12AB017AD79",386879,"King Of Rock","ARX9YIP1187B98A656","RUN-DMC",0.0,266.21342,163.881,"Slow And Low",1985,0.6066301517291853,0
135,"SOBLJWG12A8C135FC8",152528,"West Coast Diaries Vol.1-cass.","ARUUXNF1187B98FB36","Charlie Peacock",0.0,227.60444,114.216,"The Way Of Love (West Coast Diaries Vol. 1 Album Version)",0,0.37949565056873846,0.0
136,"SOPEXAV12A8C144164",614267,"Another Heist","ARXGASQ1187FB3C727","Camp Lo",0.0,267.17995,111.81,"Black Connect 3",2009,0.44521698744131516,0.40003965695463956
137,"SOZJGIC12AB018937D",715942,"Best Of","ARV1ALU1187FB4D77E","Eighteen Visions",0.0,171.12771,109.44,"Life's Blood",1997,0.44010799685850893,0
138,"SOCTLXF12A67AD9399",584842,"Le Monde de Pierrot","ARW45YR1187FB3DE95","Pierre Perret",0.0,143.46404,112.032,"L'idole des femmes",1994,0.3529764720200068,0
139,"SOYSVSH12A8C143429",522573,"10 de Colección","ARQHLIO1187B98AA6A","Jay Pérez",0.0,201.32526,201.21,"Toda Mi Vida",0,0.38623768283972165,0.0
140,"SOYJMKO12A8C142B82",322341,"Memory And Humanity","AROBHK51187B9AD82B","Funeral For A Friend",0.0,205.16526,134.009,"Kicking And Screaming",2008,0.5904492768121657,0.34580223396532944
141,"SOHICSA12AAA8C6B63",321478,"Chansons De France","ARJFDKM1269FB35F40","Monique Morelli",0.0,196.44036,180.854,"Elsa",0,0.1988008451593438,0
142,"SOBMYTL12A8C134F0E",292057,"Mine Mazi Mou Apopse","ARKEZNY1187B9B7F6C","Irini Merkouri",0.0,230.21669,109.974,"Magiki Vradia",0,0.0,0
143,"SOUVFZK12AB0182A35",422111,"3 Couleurs : Blanc","ARLE1JH1187B9B630B","Zbigniew Preisner",0.0,63.63383,35.351,"The Court",1994,0.49754408514922444,0.43703620411161354
